Iteration,fit_time,evaluate_time,hr@10,mrr@10,ndcg@10,hr@20,mrr@20,ndcg@20,hr@40,mrr@40,ndcg@40
1,125.79654693603516,0.9738984107971191,0.7544701986754967,0.41051784400294283,0.49249315413437317,0.8649006622516556,0.4182408465988963,0.520491872499054,0.9447019867549669,0.42110301995374605,0.5368972987005489
2,127.90749764442444,0.6349940299987793,0.7920529801324503,0.46971552086618384,0.5470298539821534,0.8802980132450331,0.47593306189589585,0.5694601328739797,0.9491721854304636,0.47843754087905643,0.5836780714396597
3,125.75940537452698,0.6202089786529541,0.8029801324503312,0.4928073425838338,0.5673872696646719,0.8859271523178808,0.4986981959353528,0.5885296254770602,0.9511589403973509,0.5010282514401311,0.6019268641781973
4,128.6517186164856,0.6204264163970947,0.8140728476821192,0.5081937874487563,0.5817413240387032,0.8903973509933775,0.513491829678181,0.6010383462724652,0.9538079470198676,0.5157517650574972,0.6140491178430223
5,126.7802267074585,0.628812313079834,0.8149006622516556,0.5193137023021144,0.5906328311654007,0.8920529801324504,0.5247875089026772,0.6102857974079016,0.9574503311258278,0.5271279480169061,0.6237192896621871
6,125.67338013648987,0.6208770275115967,0.8246688741721855,0.5287848864711466,0.6000221393209216,0.894205298013245,0.5336903406620912,0.6177013959581116,0.9561258278145696,0.5359625079790397,0.6305151890656083
7,125.79152536392212,0.6324915885925293,0.8210264900662252,0.5304912356774952,0.6006489441221076,0.8965231788079471,0.535773963717025,0.6197918030179832,0.9587748344370861,0.5380233865638153,0.6326151992205538
8,126.47265124320984,0.6190807819366455,0.8231788079470199,0.5347494218437946,0.604380439105082,0.8990066225165563,0.5400571314613289,0.6236108133654871,0.9592715231788079,0.5422160544274882,0.6359950650494023
9,128.83856058120728,0.65081787109375,0.8263245033112583,0.5388645800483562,0.6082165085122367,0.9,0.5441030352450996,0.6270023638790958,0.958112582781457,0.5462169541400902,0.6389962938850561
10,126.21015453338623,0.6293056011199951,0.8259933774834437,0.5393528592452456,0.6085134103110387,0.9016556291390728,0.544714547428974,0.6277774202588717,0.9596026490066225,0.5467839502001738,0.6396735180181318
11,126.40550398826599,0.6378371715545654,0.823841059602649,0.5397410122989613,0.608355509988093,0.9019867549668874,0.5452331855064169,0.6281989228020168,0.9584437086092715,0.5472369028453415,0.6397697175419156
12,128.36032629013062,0.6345276832580566,0.8216887417218544,0.540122726794914,0.608080951459128,0.8968543046357615,0.5454904476567599,0.6272748685969115,0.9587748344370861,0.547732083776808,0.6400373997346547
13,127.61193752288818,0.6163840293884277,0.8266556291390729,0.5425452670030498,0.6110292550668399,0.901158940397351,0.5477438138785613,0.6299046619410127,0.9599337748344371,0.5498423701798943,0.6419705359027819
14,125.73258018493652,0.6178269386291504,0.827317880794702,0.5474227373068453,0.6148752721712317,0.9008278145695364,0.5526319785349965,0.6335943691914855,0.9607615894039735,0.5547717268304686,0.6459000164164422
15,126.33213257789612,0.6161868572235107,0.8268211920529801,0.543663210869339,0.6120043656120603,0.9018211920529802,0.5489695923873468,0.631094201348535,0.9599337748344371,0.5510624498320565,0.643053899679302
16,125.39080452919006,0.6236226558685303,0.8258278145695365,0.5468908992957024,0.6142596390605255,0.9021523178807948,0.5523016338904051,0.6336994271832025,0.9582781456953643,0.5543293192339029,0.645266019605535
17,125.42107152938843,0.6390995979309082,0.8306291390728476,0.5447774755597623,0.6137154237210339,0.9008278145695364,0.5496455422516281,0.6314608354134267,0.9604304635761589,0.5517767423175663,0.643704393866434
18,125.56808757781982,0.6123316287994385,0.8263245033112583,0.544363765373701,0.6124204495366014,0.9,0.549546037261616,0.631133866560218,0.9614238410596027,0.5517605581496731,0.6437789730546695
19,125.85847902297974,0.6108436584472656,0.8289735099337748,0.5477149689898042,0.6155573507714384,0.8993377483443709,0.5526848565804231,0.6334554030658159,0.9591059602649007,0.5548569471617119,0.6457885222528111
20,125.47214460372925,0.613440752029419,0.8278145695364238,0.5448588773257667,0.6132649704543232,0.9009933774834437,0.550060283671575,0.631918236462794,0.9607615894039735,0.5522181614074961,0.6442282918930886
21,126.360107421875,0.6536686420440674,0.8274834437086093,0.545138954588459,0.6133494409996353,0.9009933774834437,0.550305049918649,0.6320170944808697,0.9592715231788079,0.5523762103895083,0.6439686467219045
22,125.67062449455261,0.6414103507995605,0.8293046357615894,0.5462270051508483,0.6145852429486186,0.9031456953642384,0.5514377426340894,0.6333621516836484,0.9599337748344371,0.5534938863675078,0.6450697775380221
23,125.85565209388733,0.6389627456665039,0.8243377483443709,0.5515900609692024,0.6175340852274609,0.9009933774834437,0.5570217192735817,0.6370554496574901,0.9602649006622517,0.5591536462936737,0.6492507047652267
24,125.95342946052551,0.792506217956543,0.8294701986754967,0.5502417087143915,0.6175947931507748,0.9006622516556292,0.5552268272534991,0.6356509656207489,0.958112582781457,0.5573136247299706,0.6475053132170243
25,125.14612674713135,0.6333920955657959,0.8268211920529801,0.547000026279829,0.6146226479091739,0.9003311258278146,0.5522047859464897,0.6333361248375025,0.9607615894039735,0.554391444431231,0.645790886892463
