Iteration,fit_time,evaluate_time,hr@10,mrr@10,ndcg@10,hr@20,mrr@20,ndcg@20,hr@40,mrr@40,ndcg@40
1,181.55491495132446,2.953291177749634,0.7475165562913907,0.4151411883738037,0.4945792335334414,0.8602649006622517,0.4231602534991561,0.5233280030956163,0.9407284768211921,0.4260665538225462,0.5399047481537141
2,177.89717388153076,1.5562288761138916,0.795364238410596,0.4794922737306856,0.5555038979733562,0.8864238410596027,0.4860018519945954,0.5787629365821659,0.9539735099337748,0.48840913401202585,0.5926247166752628
3,177.07717633247375,2.1915392875671387,0.811092715231788,0.5015002496583626,0.5761739049333888,0.8923841059602649,0.5072269199184958,0.5968333831481324,0.9543046357615894,0.5094410753335152,0.6095547825530784
4,177.64988565444946,2.048095464706421,0.812748344370861,0.5125360690633882,0.5849680828994189,0.8905629139072848,0.518060142158267,0.6047970960705781,0.9554635761589404,0.5203916760749409,0.6181421182322713
5,177.23102402687073,2.048839569091797,0.8165562913907285,0.5212789078103661,0.5925658436369546,0.8975165562913907,0.5269335358367339,0.6130810156396841,0.9551324503311258,0.5289886605617187,0.6249075501775075
6,177.36785411834717,1.2044556140899658,0.8240066225165563,0.5294576500578178,0.600555643900218,0.9006622516556292,0.53483701555628,0.620008531247921,0.9587748344370861,0.5368963544588672,0.6319146211360145
7,177.42856645584106,1.882795810699463,0.8220198675496688,0.5344161279302019,0.6038902186564152,0.8986754966887417,0.5397754335725213,0.623315256520904,0.9574503311258278,0.5418529196012435,0.6353479692184025
8,177.0850191116333,2.9454944133758545,0.825,0.5377619441816474,0.6070938307706829,0.8968543046357615,0.5428235448465907,0.625353403783137,0.9571192052980132,0.5449838711889208,0.6377424257545333
9,177.38869166374207,2.0557639598846436,0.8256622516556291,0.5386290470934526,0.6080179869269559,0.8995033112582781,0.5438100967224542,0.6267573202974036,0.9587748344370861,0.5459250458578897,0.6389235293263787
10,177.90486407279968,2.521592617034912,0.8283112582781457,0.5403884158519946,0.6098887911805561,0.8991721854304636,0.5452938283578718,0.6277899421405523,0.9592715231788079,0.5474393066094584,0.6401295021473589
11,177.52607655525208,2.1407759189605713,0.8283112582781457,0.5416506359718296,0.610933120644721,0.9003311258278146,0.5467086033719468,0.6292167454619698,0.9600993377483443,0.548821504892213,0.6414530970342712
12,177.16911959648132,2.740234375,0.8256622516556291,0.5425806133711781,0.6108846331743474,0.9,0.5477491736286061,0.6296885464799772,0.9577814569536424,0.549826260304737,0.6415729796616347
13,177.6406331062317,2.4925601482391357,0.8289735099337748,0.5438279196888488,0.612680800376919,0.898841059602649,0.5486931658210801,0.6303646880029405,0.9571192052980132,0.5508349478221232,0.6424316606489935
14,177.9470727443695,2.7894418239593506,0.8274834437086093,0.5453453826342919,0.6135811789896328,0.9001655629139073,0.5504500471420766,0.6320347153150743,0.9596026490066225,0.552593973466283,0.6442720094023513
15,178.06843733787537,2.597506523132324,0.8298013245033112,0.5466255387364668,0.615072147226498,0.9006622516556292,0.5515879122999927,0.6330434377440969,0.958112582781457,0.5536775147688593,0.6449034645621399
16,177.95646953582764,2.476378917694092,0.8278145695364238,0.5479222511300337,0.6155951555485217,0.9014900662251656,0.5531294196974434,0.6343411861896932,0.9587748344370861,0.5551919702558225,0.6461300612215422
17,177.71860265731812,2.4906792640686035,0.828476821192053,0.5455232313676041,0.613840177231791,0.9006622516556292,0.55066674216264,0.6322624086446028,0.9592715231788079,0.5527758603607096,0.6443216825725646
18,177.93534898757935,2.281179428100586,0.8298013245033112,0.5481943130453081,0.6162106782092203,0.9033112582781457,0.5532996932017464,0.634802164962462,0.9582781456953643,0.5552622797907834,0.6460889213203461
19,177.70221328735352,2.34926700592041,0.8289735099337748,0.5482239435509326,0.6161076236266818,0.9003311258278146,0.5532637922526745,0.6342616446023905,0.9594370860927153,0.5554183865217615,0.6464697370369485
20,177.6188349723816,1.7789771556854248,0.8291390728476821,0.5466813833701274,0.6148810661955135,0.9038079470198676,0.5518656032561667,0.633765630195083,0.9577814569536424,0.5538007986887503,0.6448601667260025
21,177.72937107086182,2.3930888175964355,0.8311258278145696,0.5498412041417033,0.6178738852695708,0.9036423841059603,0.5549190151415654,0.6362675173662105,0.9592715231788079,0.5568824961430897,0.6476505061404376
22,177.62360668182373,2.9740185737609863,0.8311258278145696,0.5474680043098935,0.615989325246841,0.9006622516556292,0.5522943937641888,0.6335714224690898,0.9579470198675497,0.5543740487393697,0.6453892428233945
23,177.95403671264648,1.6252367496490479,0.8266556291390729,0.5482596184169041,0.6155807226799214,0.9003311258278146,0.5534415196809609,0.6342943553877166,0.9587748344370861,0.5555470019122722,0.6463228093649906
