Iteration,fit_time,evaluate_time,hr@10,mrr@10,ndcg@10,hr@20,mrr@20,ndcg@20,hr@40,mrr@40,ndcg@40
1,183.0881962776184,3.3097500801086426,0.7576158940397351,0.42508310995479837,0.5043476648982184,0.8610927152317881,0.4322541296704502,0.5305009492173893,0.9435430463576159,0.43527249546413144,0.5475551076031547
2,179.48348927497864,1.6030361652374268,0.796523178807947,0.4859289919058145,0.5605893581103971,0.8857615894039735,0.49231595916445264,0.58339290806647,0.9528145695364238,0.49469378402503256,0.5971328515788632
3,179.52306008338928,3.0128250122070312,0.8097682119205298,0.5087706953642394,0.581277653966397,0.8885761589403973,0.5143780697653868,0.6013759224832883,0.9538079470198676,0.5167194594031651,0.6147875314424699
4,179.45219540596008,3.2326340675354004,0.8177152317880795,0.5194261799642613,0.5913748866921502,0.8951986754966887,0.5248836064207923,0.6110651227923958,0.9577814569536424,0.5270971381625728,0.6238780037302549
5,179.6391634941101,3.2430009841918945,0.8173841059602649,0.526099088089983,0.5965881376755929,0.8935430463576159,0.5314663969096043,0.6159500067498381,0.9567880794701987,0.5336997699270938,0.6288925134521302
6,179.65008807182312,3.4316554069519043,0.8241721854304636,0.535088037422476,0.6049330155157676,0.8945364238410596,0.5400201193995344,0.6227840375216276,0.956953642384106,0.5422354891378868,0.6355755572699057
7,179.4449212551117,2.6826560497283936,0.8248344370860927,0.539931475349524,0.6087569136174418,0.8976821192052981,0.5450189309725788,0.6272129520515266,0.9572847682119205,0.5471687058966327,0.639486143266681
8,179.73187232017517,3.1115033626556396,0.8276490066225165,0.5435828602964379,0.6123190262093579,0.9003311258278146,0.548736406656901,0.6308305117800924,0.9594370860927153,0.550841294303526,0.6429554146961518
9,179.65980052947998,2.919116497039795,0.8271523178807947,0.5460120361610443,0.6138753727413153,0.8995033112582781,0.5510991786375844,0.6322481731198192,0.9577814569536424,0.5531890706202067,0.6442280307291137
10,179.68928170204163,2.897829294204712,0.8266556291390729,0.5504710659098097,0.6172296210554028,0.8991721854304636,0.555492178790406,0.6355495168458329,0.9617549668874172,0.557720705720511,0.6483863966822409
11,179.46845126152039,2.9572255611419678,0.8271523178807947,0.5502286345001584,0.6173070961454677,0.9014900662251656,0.5554564933630584,0.6361895313851414,0.9622516556291391,0.5576022378645508,0.6486251625655258
12,179.43415760993958,2.9819867610931396,0.8261589403973509,0.5470985756333453,0.6145884937683965,0.8995033112582781,0.5522206290898188,0.6331764203220469,0.958112582781457,0.5543318034159962,0.645242024994576
13,179.45522284507751,1.2133989334106445,0.8245033112582781,0.5535801009145396,0.6191082187828347,0.8995033112582781,0.5588729595462575,0.638181011919482,0.958112582781457,0.5609804467439597,0.6502373052386583
14,179.11674118041992,3.053408622741699,0.8258278145695365,0.5498965231788108,0.6166380367363856,0.9001655629139073,0.5551136045230518,0.6355075048790323,0.9589403973509933,0.5572117372277471,0.6475744452787392
15,179.5172517299652,3.039698839187622,0.8288079470198676,0.5521674287816681,0.6189676895023438,0.8986754966887417,0.5570731156201211,0.6367050424364449,0.9605960264900663,0.5593057182829952,0.649454858433605
16,179.9750189781189,2.3498196601867676,0.8289735099337748,0.5565293545674352,0.622505801729148,0.9021523178807948,0.5616449386048862,0.6410539816019544,0.9609271523178808,0.5637567308432101,0.6531418556017791
17,180.08874368667603,2.008094072341919,0.8289735099337748,0.554735362136027,0.6209806776934275,0.902317880794702,0.5598091291346098,0.6395072787377581,0.9620860927152318,0.5619437262309466,0.6517779146988943
18,179.41881251335144,2.790877342224121,0.830794701986755,0.551670345842533,0.6191365333511278,0.9033112582781457,0.5567686739270862,0.6375527812013042,0.9614238410596027,0.5588157398413011,0.6494399611042824
19,179.52715682983398,3.3369312286376953,0.8312913907284768,0.5525593924103887,0.6199013641917734,0.9009933774834437,0.5575291669679913,0.6376894252955932,0.9609271523178808,0.5596755203666185,0.6500051883027392
20,179.7604055404663,2.7966325283050537,0.8311258278145696,0.5555374881740803,0.6221401753574389,0.9019867549668874,0.5604782017970438,0.6400844992316655,0.9591059602649007,0.5625285435130496,0.6518305743281729
21,179.69312167167664,1.2522287368774414,0.8309602649006622,0.5559414748239281,0.6224828439053203,0.9043046357615894,0.5609889894772371,0.6409728480249928,0.9600993377483443,0.5630015417386098,0.6524619083762969
22,179.07337498664856,3.0672993659973145,0.8264900662251655,0.5544879375591326,0.6203467417773433,0.902317880794702,0.5597414884618839,0.6395061111237916,0.9615894039735099,0.5618539984595896,0.6516685091850485
23,179.3216371536255,2.2522644996643066,0.8288079470198676,0.5517905760538233,0.6188324883993149,0.9013245033112582,0.5568315381427157,0.637180820064742,0.9610927152317881,0.5589517246730308,0.6494276554694459
24,179.08419919013977,2.675837755203247,0.8283112582781457,0.555942066120049,0.6219348177571594,0.9039735099337748,0.5612216832467944,0.6410992541758509,0.9597682119205299,0.5632244280895146,0.652569472273157
25,179.4373927116394,3.0809028148651123,0.8304635761589404,0.557860624934303,0.623738392436408,0.9036423841059603,0.5629860174057674,0.642298400828754,0.9625827814569536,0.565071453192552,0.6543681044342784
26,179.32851815223694,3.151765823364258,0.827317880794702,0.5528969567959664,0.6194025358006957,0.9001655629139073,0.5579783979918109,0.6378539868342004,0.9610927152317881,0.5601514237630335,0.6503573595895086
27,178.88488936424255,2.8267993927001953,0.828476821192053,0.5559065226532142,0.6219141209154533,0.9013245033112582,0.5609783711238174,0.6403513931507462,0.9600993377483443,0.5630868120111474,0.6524351267955004
28,179.02100276947021,1.9726452827453613,0.8294701986754967,0.5552637180700112,0.6215633381445592,0.904635761589404,0.5604775653437581,0.6405635817324671,0.9617549668874172,0.562471662098702,0.6522161879482963
29,178.0302836894989,2.0887112617492676,0.8326158940397351,0.5574945469357743,0.6240227539008171,0.9039735099337748,0.5624762741850013,0.642103080105003,0.9619205298013245,0.5645411689516566,0.6539940762045554
30,171.62087488174438,0.9716987609863281,0.8316225165562914,0.5578707426679304,0.6240630262275143,0.9014900662251656,0.5627856767793967,0.6418091705306195,0.9614238410596027,0.5649506073647026,0.6541545692810606
31,175.81049394607544,1.162264347076416,0.831953642384106,0.557600191842743,0.623892973119558,0.9021523178807948,0.5626024495650687,0.6418057013097,0.9594370860927153,0.5646768788312682,0.6536141905043822
32,180.31660532951355,1.6050348281860352,0.829635761589404,0.55472182802481,0.6212037602024209,0.9014900662251656,0.5597167678799624,0.6393844736969685,0.9614238410596027,0.5618391360178244,0.6516602926121869
33,180.84053206443787,1.5897061824798584,0.8299668874172186,0.5569839298854217,0.623008555525804,0.9028145695364238,0.5620891233317046,0.6414862065039173,0.9604304635761589,0.5641289172134435,0.6532870623413476
34,180.74106907844543,1.3586456775665283,0.8294701986754967,0.5589204903815849,0.6243913659866503,0.9036423841059603,0.5641085387791823,0.6431970843146733,0.9620860927152318,0.5661734157556726,0.6551588697027106
35,180.70924019813538,1.629086971282959,0.829635761589404,0.5556514112267434,0.6219467793420255,0.9041390728476821,0.5608563615571402,0.6408281835937817,0.9605960264900663,0.5628541532841589,0.6523868712816913
36,180.50156831741333,1.4641849994659424,0.8302980132450332,0.5568608088930962,0.6230382054801844,0.9043046357615894,0.5619876002921453,0.641737455785097,0.9596026490066225,0.563958535160147,0.6530870232277667
37,180.7925021648407,1.8772177696228027,0.8294701986754967,0.5537355460948187,0.6204266152216158,0.9033112582781457,0.558941647374586,0.6391983079558472,0.9619205298013245,0.5610585122932114,0.6512695837006853
38,180.80588626861572,1.4606492519378662,0.8264900662251655,0.5568459607904992,0.6221000369790161,0.904635761589404,0.5623453828549064,0.6419496591772583,0.9610927152317881,0.5643533570314188,0.6535280023644151
39,180.810941696167,1.7261686325073242,0.8301324503311258,0.5579445889834977,0.6238881257407267,0.9048013245033113,0.5631340251541628,0.6427787535592457,0.9615894039735099,0.565157516400246,0.6544319628190326
40,180.92212414741516,1.398045539855957,0.8289735099337748,0.557893671817515,0.62346449068812,0.904635761589404,0.5631454828786426,0.6425968228686699,0.9596026490066225,0.565097648954424,0.65386597035438
41,180.91964030265808,1.7386837005615234,0.8298013245033112,0.5578428860506685,0.6235547892915448,0.9043046357615894,0.5630781022838365,0.6424736730600802,0.9615894039735099,0.5650999659515881,0.6541968658317396
42,180.75311756134033,1.5318114757537842,0.8347682119205299,0.5594468096289309,0.6260203359625679,0.904635761589404,0.5644047449439793,0.643820848760977,0.9591059602649007,0.5663737573752079,0.6550430466309501
43,180.87511944770813,1.6839895248413086,0.8294701986754967,0.5591238962472423,0.624536541764914,0.9028145695364238,0.5643365776719028,0.6432349136036501,0.9609271523178808,0.5664041772259847,0.6551522965397065
44,180.93760657310486,1.5252101421356201,0.8253311258278145,0.555360296436457,0.6207653925860179,0.9024834437086092,0.5607656782658462,0.6403361719776691,0.9609271523178808,0.5628697149257816,0.652364117223018
45,180.97765827178955,1.7030658721923828,0.8298013245033112,0.5565218648165682,0.6228280903085017,0.9051324503311259,0.5617909221731596,0.6419261555041159,0.9610927152317881,0.5637904658109124,0.6534186349386351
46,180.85373282432556,1.604053258895874,0.829635761589404,0.5582699332492395,0.6240205833942255,0.9069536423841059,0.5636835317592611,0.6436263560937594,0.9589403973509933,0.5655071773187115,0.6542432618158394
47,180.8200168609619,1.49354887008667,0.8241721854304636,0.556757923368025,0.6216036313043011,0.9026490066225166,0.5623774467529994,0.6416594584407795,0.9615894039735099,0.5644505216729985,0.6537061092238646
48,180.77681875228882,1.6861772537231445,0.8299668874172186,0.5610132844528557,0.626068188875508,0.9018211920529802,0.5661013081953277,0.6443621785558727,0.9602649006622517,0.5681954878041285,0.6563735843213593
49,180.8900249004364,1.701172113418579,0.833112582781457,0.5606294675706939,0.6264896055874491,0.9043046357615894,0.5656212255897026,0.6445536272030989,0.9612582781456953,0.5676449480714217,0.6562291706929348
50,180.88956928253174,1.6100237369537354,0.8269867549668874,0.5560245190791566,0.6216692407246741,0.9033112582781457,0.5613317417334317,0.6409801605201458,0.9602649006622517,0.5633639819072969,0.6526715938219029
