Iteration,fit_time,evaluate_time,hr@10,mrr@10,ndcg@10,hr@20,mrr@20,ndcg@20,hr@40,mrr@40,ndcg@40
1,91.23115563392639,0.5416929721832275,0.6026490066225165,0.2590528750131391,0.3396993343452609,0.778476821192053,0.2711712321090764,0.3840555942434856,0.9211920529801324,0.2762454734872955,0.4133238219591154
2,86.93245363235474,0.31101393699645996,0.7352649006622517,0.369838181961525,0.45653645389086933,0.8541390728476821,0.37818434324772093,0.48671037748683127,0.947682119205298,0.3815465911042391,0.50595262479511
3,87.68085598945618,0.31617021560668945,0.7736754966887417,0.419448780615999,0.5042782659431323,0.8718543046357616,0.42636456414655177,0.5292326977074698,0.9543046357615894,0.4293226733540895,0.5461885068279493
4,87.66412043571472,0.3186352252960205,0.786092715231788,0.4451669426048566,0.5270063343287241,0.8801324503311259,0.4516860663771981,0.5507767549159616,0.9559602649006622,0.45439287843505405,0.5663444738368458
5,87.3043885231018,0.3049609661102295,0.7917218543046357,0.45985887732576597,0.5396337043334395,0.8852649006622516,0.4664635668162852,0.5634280039503592,0.9571192052980132,0.4690491710159892,0.5782163475101437
6,87.36335039138794,0.31930112838745117,0.8006622516556291,0.46705863029538686,0.5472838958658296,0.8889072847682119,0.47324106880593775,0.569670350452318,0.9596026490066225,0.47576582489000097,0.5841876901272902
7,87.6986711025238,0.3226139545440674,0.8016556291390728,0.4737074923788505,0.5526161591269672,0.890728476821192,0.4800060526743185,0.5752854846794199,0.9610927152317881,0.48251415153668176,0.5897268193530179
8,88.19629049301147,0.3262360095977783,0.8061258278145695,0.47814556396510144,0.5571832141895076,0.8940397350993378,0.4843206957857549,0.5795011788717986,0.9600993377483443,0.4867037869044499,0.5931082470858043
9,89.68389558792114,0.32159852981567383,0.8084437086092715,0.48434766897929227,0.5624305559999243,0.895364238410596,0.4904406761601702,0.5844807355969646,0.9630794701986755,0.4928740536803687,0.5984115101533783
10,87.27210688591003,0.32926344871520996,0.8064569536423841,0.48165096446967454,0.5601655508252199,0.8945364238410596,0.48786683204079917,0.5825626771013465,0.9607615894039735,0.4902431178699925,0.5961793541230576
11,87.67152881622314,0.3311018943786621,0.8120860927152318,0.49105552927572926,0.5684334277984263,0.8970198675496689,0.4969890812044392,0.5899569074281105,0.9612582781456953,0.4992962730464356,0.6031705659056108
12,88.05065321922302,0.336627721786499,0.8091059602649007,0.4887673446862197,0.566060554952896,0.8956953642384106,0.4949346155240684,0.5881497112622558,0.9622516556291391,0.4973253948881459,0.6018386772860915
13,87.73311972618103,0.3306007385253906,0.8125827814569536,0.4920479212656386,0.5693704197295244,0.8986754966887417,0.49811013370766133,0.59124646925415,0.9629139072847682,0.5003929486971402,0.604418456198859
14,87.3962914943695,0.33548951148986816,0.8125827814569536,0.4899856117943889,0.5678614395778657,0.8981788079470199,0.4959347550718947,0.5895115747006577,0.9629139072847682,0.49825282535945453,0.6028141224973331
15,87.54468560218811,0.34235167503356934,0.8119205298013245,0.4937991432776221,0.5705868663673488,0.8961920529801325,0.4997499283210583,0.5920225065616664,0.9619205298013245,0.5021140084196172,0.605544467115976
16,87.85200524330139,0.3535580635070801,0.8125827814569536,0.4958893750657017,0.5723164088164266,0.8968543046357615,0.5018543549982258,0.5937680968265918,0.9625827814569536,0.504221326827289,0.6072972407248768
17,88.1718225479126,0.4232313632965088,0.8119205298013245,0.4961840376327149,0.5724116593306469,0.8948675496688742,0.502028531864002,0.5934924277522466,0.9629139072847682,0.5044919775837665,0.6075181547973328
18,87.91297912597656,0.550407886505127,0.81341059602649,0.4991664038683925,0.5750581994813934,0.8961920529801325,0.5049989476583031,0.59609719672888,0.9609271523178808,0.5073445426333552,0.6094461731841713
19,90.99319577217102,2.8029987812042236,0.8125827814569536,0.49799103857878846,0.5739649842653212,0.8956953642384106,0.5038246548346149,0.5950588489603137,0.9627483443708609,0.506256650022231,0.6088869476938363
20,119.66912865638733,2.806206464767456,0.8160596026490067,0.5001867181751299,0.5763908679840478,0.8958609271523179,0.5058233429158238,0.596689571350908,0.9630794701986755,0.5082573829805334,0.6105455685218432
