Iteration,fit_time,evaluate_time,hr@10,mrr@10,ndcg@10,hr@20,mrr@20,ndcg@20,hr@40,mrr@40,ndcg@40
6,105.474356174469,0.31903553009033203,0.8039735099337748,0.4774325265426281,0.556222694176453,0.8917218543046358,0.48363332044652385,0.5785481204375587,0.9627483443708609,0.48618497168349983,0.5931561042010338
11,116.855961561203,0.8517217636108398,0.8099337748344371,0.49201704246820305,0.568629218683573,0.8955298013245033,0.49801637745127325,0.5903433264779995,0.9610927152317881,0.5004010693115492,0.6038786023918554
16,276.98419666290283,3.0859642028808594,0.8125827814569536,0.49782219068642963,0.5737860536543373,0.8981788079470199,0.5038059366399393,0.5954812095447849,0.9649006622516556,0.5062121368380956,0.609219566197537
21,322.0858073234558,1.2648594379425049,0.813907284768212,0.49722136812782597,0.5736606420256202,0.8966887417218543,0.5030147449516136,0.5946526412296635,0.9625827814569536,0.5053909332340583,0.6082211316516434
