Iteration,fit_time,evaluate_time,hr@10,mrr@10,ndcg@10,hr@20,mrr@20,ndcg@20,hr@40,mrr@40,ndcg@40
1,143.06310868263245,1.1947507858276367,0.7481788079470199,0.40692118679701417,0.4881583068392236,0.8600993377483444,0.4147927367863207,0.5165918982626898,0.9412251655629139,0.41772581070250603,0.533307762512194
2,141.59017038345337,0.877687931060791,0.7877483443708609,0.4739161542100295,0.5492702367782833,0.8802980132450331,0.4804984605761289,0.572869411651379,0.9495033112582781,0.48296013588338776,0.5870656901419772
3,143.00216364860535,0.8855636119842529,0.8097682119205298,0.4972508015347435,0.5722958206593669,0.8870860927152318,0.5027196740705056,0.5919734222633978,0.9533112582781457,0.5050845017415861,0.6055682648066086
4,142.9847104549408,0.881807804107666,0.8198675496688742,0.5141033322821413,0.5875888792491557,0.8910596026490066,0.5191216011931247,0.6056856668542757,0.9541390728476821,0.5213951286573166,0.6186750064655168
5,142.10454106330872,0.8764908313751221,0.8144039735099338,0.5193899138021665,0.5905594423065843,0.8922185430463576,0.5249033242726221,0.6103712493027931,0.9571192052980132,0.5272076503318276,0.6236754483346442
6,142.1067385673523,0.885838508605957,0.819205298013245,0.5241863765373709,0.5954349499533357,0.8990066225165563,0.5298045736015391,0.6157095370209063,0.9576158940397351,0.5318888290801064,0.6277301170877516
7,141.9920539855957,0.9154024124145508,0.8213576158940398,0.5272038920424702,0.5982673443548341,0.9019867549668874,0.5328785737467554,0.6187529840927924,0.9579470198675497,0.5348769083810763,0.6302428493583423
8,141.55884909629822,0.8861167430877686,0.8246688741721855,0.5349852832965435,0.6049097115960977,0.8993377483443709,0.5402688533905038,0.6239126311297792,0.9561258278145696,0.5423475387873973,0.6356551481207622
9,141.9072425365448,0.8746778964996338,0.8253311258278145,0.5350358719646812,0.6050185107969748,0.8986754966887417,0.5402492498290957,0.6237182333148322,0.9576158940397351,0.5423910936275335,0.6358811756190141
10,142.90192532539368,0.8865025043487549,0.8198675496688742,0.5363364606328189,0.6047532863537171,0.9004966887417218,0.5420337271389591,0.625264665754464,0.9566225165562914,0.5440747363638447,0.63685067071712
11,143.29700756072998,0.8927779197692871,0.825,0.540794044991066,0.6093726284094023,0.902317880794702,0.5461908238822851,0.628958212135711,0.9577814569536424,0.5481951419154453,0.6403842118276641
12,142.32113814353943,0.9080500602722168,0.8233443708609272,0.5405891937348901,0.6088675441362151,0.9003311258278146,0.5460608408381706,0.6284937631448475,0.9602649006622517,0.5482205211261585,0.6408309544747588
13,141.82819485664368,0.878981351852417,0.8261589403973509,0.5386124251024927,0.6079887004329709,0.8995033112582781,0.5437344090885955,0.6265730366234579,0.9587748344370861,0.545888752952993,0.6388070638585428
14,141.7559995651245,0.9157698154449463,0.8251655629139073,0.5423377877641143,0.6107328343735966,0.9008278145695364,0.5477346732370212,0.6300426459543375,0.9605960264900663,0.5498756329094755,0.6423261971717283
15,138.3947250843048,0.8240432739257812,0.8288079470198676,0.5444868206664587,0.6131675182577849,0.9003311258278146,0.5495194445513534,0.6313378939670083,0.9605960264900663,0.5517166861980125,0.64378620882115
16,140.3955738544464,0.8719279766082764,0.8281456953642384,0.5458537658992972,0.6142145891862935,0.9009933774834437,0.5510266539211418,0.6327783123406504,0.9597682119205299,0.5531498591311037,0.6448868308449973
17,141.89169692993164,0.893763542175293,0.8288079470198676,0.5489909203195645,0.6166419746317042,0.9016556291390728,0.5540837266945153,0.6351077793379105,0.9579470198675497,0.5561158795048992,0.6467038308425215
18,142.33005213737488,0.8845982551574707,0.8301324503311258,0.5480955665930843,0.616165565103134,0.9008278145695364,0.5529943910604198,0.6340306175224546,0.9582781456953643,0.555078779480128,0.6458818183218845
19,142.6674644947052,0.8901236057281494,0.8311258278145696,0.5492385419951665,0.6172897965248599,0.9014900662251656,0.5541789222883675,0.6351494823824245,0.9600993377483443,0.5562875152968785,0.6472098440899097
