Iteration,fit_time,evaluate_time,hr@10,mrr@10,ndcg@10,hr@20,mrr@20,ndcg@20,hr@40,mrr@40,ndcg@40
1,126.09340262413025,0.7111408710479736,0.7516556291390728,0.398187217491853,0.48239612562060336,0.8630794701986755,0.4059676157285665,0.5106272916648117,0.9521523178807947,0.4091452669037281,0.5289130772225085
2,123.25681781768799,0.4249560832977295,0.7839403973509934,0.4512082807736781,0.530963349604537,0.8811258278145695,0.4580968908293508,0.5557173653203359,0.9571192052980132,0.46086788406598034,0.571414065321825
3,123.23080587387085,0.4263498783111572,0.8001655629139073,0.47098523073688725,0.5501308080146927,0.8899006622516556,0.47728568369456964,0.5729092904266982,0.9615894039735099,0.47986746650547024,0.5876662517432503
4,123.11147928237915,0.43318796157836914,0.8044701986754967,0.4801519631031228,0.5583215566416938,0.8897350993377483,0.4861418389050799,0.5799700669936924,0.9604304635761589,0.48874798760312,0.5946207427359741
5,123.64489364624023,0.4272749423980713,0.8082781456953643,0.48859843109429313,0.5656252021043026,0.8943708609271523,0.4946612121912689,0.5875008511858475,0.9615894039735099,0.49710270759962827,0.6013718377733809
6,123.40104174613953,0.4272878170013428,0.81341059602649,0.4920627036686653,0.5695047268381003,0.8965231788079471,0.4978177852713785,0.5905023163233719,0.9609271523178808,0.5001263937568614,0.6037396376680916
7,123.71203756332397,0.42992186546325684,0.8149006622516556,0.4943738174077589,0.5716532507606953,0.9004966887417218,0.5003984108859248,0.5933985551715605,0.9609271523178808,0.5025750556106008,0.6058380616479155
8,123.3907675743103,0.4228823184967041,0.8132450331125828,0.4956849180069383,0.5722160018758319,0.8963576158940397,0.5015774143056972,0.5933848475874935,0.9615894039735099,0.5039539481621987,0.6068573332617826
9,123.78487801551819,0.4294893741607666,0.8172185430463577,0.49478660779985356,0.5724853519562203,0.8996688741721854,0.5005729113998485,0.5934124697622887,0.9617549668874172,0.5028147974050436,0.606203931786813
10,123.56362700462341,0.4270174503326416,0.8185430463576159,0.5005460948176194,0.5771272044584637,0.9003311258278146,0.506311199104439,0.5979163956693508,0.96341059602649,0.5085929002813175,0.6109174104105092
11,123.58126616477966,0.42788028717041016,0.8165562913907285,0.5053306659308323,0.5803250628855499,0.9008278145695364,0.5112810649343604,0.6017579521391193,0.9629139072847682,0.5135322241047523,0.6145626359773839
12,123.62216305732727,0.429884672164917,0.8185430463576159,0.501051127404605,0.5776224292201848,0.9016556291390728,0.5068825351199692,0.5987151408745057,0.963907284768212,0.5091359499067326,0.6115500975123179
13,123.68175935745239,0.4322052001953125,0.8218543046357616,0.5038091296121104,0.5805363340181694,0.9038079470198676,0.5095235442832606,0.6012925271957684,0.9619205298013245,0.5116173822598664,0.6132555788815636
14,123.63453388214111,0.43448328971862793,0.8200331125827814,0.5050674077578056,0.5810590135898219,0.9021523178807948,0.5108932934577498,0.6019793228910184,0.9642384105960264,0.5131372507559071,0.614773229938547
15,122.48347878456116,0.4264812469482422,0.8175496688741721,0.5048389046567866,0.5802965321809045,0.8995033112582781,0.5106274733948284,0.6011390240379197,0.9629139072847682,0.5129401181692104,0.6142373215664855
16,123.63282418251038,0.4294469356536865,0.8208609271523178,0.5042788158309701,0.5807465777953245,0.9026490066225166,0.5100358371818448,0.6015261146534449,0.9652317880794702,0.5122831176383968,0.6143974373259664
17,123.71390008926392,0.43100786209106445,0.8211920529801324,0.5071144749290458,0.582843104919704,0.9039735099337748,0.5129495481296049,0.6038859812530076,0.9652317880794702,0.5151858196909592,0.6165435641284742
18,123.74345231056213,0.4286196231842041,0.8221854304635762,0.5097111846946307,0.5850931120758222,0.9039735099337748,0.5155197284372448,0.6059390912055781,0.963907284768212,0.5176790361148065,0.6182779494808914
19,122.90930604934692,0.43086791038513184,0.8220198675496688,0.511962117628509,0.586799804169067,0.9,0.5175214552383788,0.6067016176826409,0.9652317880794702,0.5198713740232059,0.6201314883693261
20,122.26251721382141,0.4307217597961426,0.8236754966887417,0.5085614422369406,0.5845342545240051,0.8971854304635761,0.5137309174293917,0.6032067808912026,0.9629139072847682,0.5161399004875392,0.6168062070600463
